ticker,company,ipo_date,sic_desc,proposed_article,article_created,body_words_at_ipo,overlap,lead_extract,VERDICT_1_or_0
MCRB,Seres Therapeutics Inc,2015-06-26,Pharmaceutical Preparations,David Berry (inventor),2010-07-26,791,0.0,"David Berry (born February 10, 1978) is an American entrepreneur and business executive. He has co-founded Valo Health, Seres Therapeutics, Indigo Agriculture, Axcella Health, and contributed to the e",
RRR,Red Rock Resorts Inc,2016-04-27,Hotels & Motels,Station Casinos,2005-05-08,644,0.0,"Station Casinos, LLC is an American hotel and casino company based in Las Vegas suburb of Summerlin South, Nevada, and founded by Frank Fertitta Jr. Station Casinos, along with Affinity Gaming, Boyd G",
SSTI,ShotSpotter Inc,2017-06-07,Services-Prepackaged Software,SoundThinking,2008-01-31,0,0.0,"SoundThinking, Inc. (formerly ShotSpotter Inc.) is an American security technology company based in Fremont, California. The company is publicly traded, and is known for its gunfire locator service. S",
CCB,Coastal Financial Corp,2018-07-18,State Commercial Banks,Coastal Federal Credit Union,2008-09-26,154,0.25,"Coastal Federal Credit Union is a not-for-profit, member-owned financial cooperative located in Raleigh, North Carolina. As of 2022, Coastal had $4.6 billion in assets and more than 323,000 members.",
ELAN,Elanco Animal Health Inc,2018-09-20,Pharmaceutical Preparations,Elanco,2011-05-01,0,0.333,"Elanco Animal Health Incorporated is an American pharmaceutical company which produces medicines and vaccinations for pets and livestock. Until 2019, the company was a subsidiary of Eli Lilly and Comp",
ALLO,Allogene Therapeutics Inc.,2018-10-11,"Biological Products, (No Diagnostic Substances)",Kite Pharma,2014-05-19,0,0.0,"Kite Pharma, Inc. is an American biotechnology company that develops cancer immunotherapy products with a primary focus on genetically engineered autologous CAR T cell therapy - a cell-based therapy w",
RRBI,Red River Bancshares Inc,2019-05-03,State Commercial Banks,Huntington Bancshares,2006-11-18,1172,0.333,"Huntington Bancshares Incorporated is an American bank holding company headquartered in Columbus, Ohio. Its banking subsidiary, The Huntington National Bank, operates 1,048 banking offices, primarily ",
REYN,Reynolds Consumer Products Inc,2020-01-31,"Plastics, Foil & Coated Paper Bags",Reynolds Group Holdings,2004-11-01,827,0.333,"Reynolds Group Holdings was a New Zealand–based packaging company with roots in the former Reynolds Metals Company, which was the second-largest aluminum company in the United States, and the third-la",
ARRY,Array Technologies Inc,2020-10-15,Semiconductors & Related Devices,ATI Technologies,2003-02-01,1123,0.5,"ATI Technologies Inc. (ATI) was a Canadian semiconductor technology corporation based in Markham, Ontario, that specialized in the development of GPUs and chipsets.
Founded in 1985, the company listed",
VMAR,Vision Marine Technologies Inc,2020-11-24,Ship & Boat Building & Repairing,Sperry Marine Northrop Grumman,2007-06-25,225,0.25,"Sperry Marine is a maritime navigation systems company headquartered in New Malden, United Kingdom. The company develops and supplies navigation, integrated bridge, radar, electronic chart display and",
